Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_3	546165	ASM1789626v1	GCF_017896265.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267763	1267763	2021-04-10	1317	PRJNA695307	SAMN17611331
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_6	546165	ASM1789628v1	GCF_017896285.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267775	1267775	2021-04-10	1326	PRJNA695307	SAMN17611334
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_5	546165	ASM1789630v1	GCF_017896305.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267770	1267770	2021-04-10	1292	PRJNA695307	SAMN17611333
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_7	546165	ASM1789632v1	GCF_017896325.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267783	1267783	2021-04-10	1322	PRJNA695307	SAMN17611335
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_2	546165	ASM1789634v1	GCF_017896345.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267783	1267783	2021-04-10	1324	PRJNA695307	SAMN17611330
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_1	546165	ASM1789636v1	GCF_017896365.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267801	1267801	2021-04-10	1302	PRJNA695307	SAMN17611329
Wolbachia endosymbiont of Spodoptera picta		strain: Spic_B	2769078	ASM1814166v1	GCF_018141665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1339720	1339720	2021-04-27	1281	PRJNA659878	SAMN17207715
Wolbachia endosymbiont of Drosophila yakuba		isolate: KB166, strain: wYak	260915	ASM1846711v1	GCF_018467115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1394392	1394392	2021-05-24	1408	PRJNA694504	SAMN17528250
Wolbachia endosymbiont of Drosophila santomea		isolate: KB161, strain: wSan	260917	ASM1846713v1	GCF_018467135.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1409094	1409094	2021-05-24	1419	PRJNA694504	SAMN17528249
Wolbachia pipientis		strain: wAnM	955	ASM1849162v2	GCF_018491625.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1121812	1121812	2022-01-11	1232	PRJNA642000	SAMN16752491
Wolbachia endosymbiont of Anopheles demeilloni		isolate: wAnD	2748871	ASM1849173v2	GCF_018491735.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1231247	1231247	2022-01-11	1328	PRJNA642000	SAMN15423460
Wolbachia endosymbiont of Drosophila simulans		isolate: KB156, strain: wTei	77038	ASM1868995v1	GCF_018689955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1353394	1353394	2021-06-03	1382	PRJNA694504	SAMN17528251
Wolbachia endosymbiont of Drosophila simulans		isolate: KB154, strain: wMa	77038	ASM1869003v1	GCF_018690035.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1273535	1273535	2021-06-03	1216	PRJNA694504	SAMN17528248
Wolbachia endosymbiont of Drosophila simulans		isolate: KB177, strain: wAu	77038	ASM1869009v1	GCF_018690095.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1268455	1268455	2021-06-03	1326	PRJNA694504	SAMN17528247
Wolbachia endosymbiont of Diaphorina citri		isolate: KPSwDi3891	116598	ASM1935523v1	GCF_019355235.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1515037	1515037	2021-07-27	1453	PRJNA603775	SAMN13940806
Wolbachia endosymbiont of Diaphorina citri		isolate: KPSwDi2567	116598	ASM1935535v1	GCF_019355355.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1528786	1528786	2021-07-27	1466	PRJNA603775	SAMN13940805
Wolbachia endosymbiont of Diaphorina citri		isolate: KPSwDi1234	116598	ASM1935537v1	GCF_019355375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1515763	1515763	2021-07-27	1451	PRJNA603775	SAMN13940804
Wolbachia pipientis		strain: wAlbB-Q	955	ASM1966580v1	GCF_019665805.1	RefSeq	GCF_019665805.1-RS_2024_03_31	Complete Genome	1484007	1484007	2021-08-18	1465	PRJNA751963	SAMN20571400
Wolbachia endosymbiont of Corcyra cephalonica		isolate: SYLI2103	218111	ASM2099547v1	GCF_020995475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1359904	1381884	2021-11-29	1319	PRJNA780222	SAMN23133155
Wolbachia endosymbiont of Drosophila innubila		isolate: 11	282263	ASM2137837v1	GCF_021378375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1290587	1290587	2022-01-06	1413	PRJNA661092	SAMN18306550
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_YK_2020	546165	ASM2149615v1	GCF_021496155.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267786	1267786	2022-01-18	1331	PRJNA791959	SAMN24371061
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_GV_2020	546165	ASM2149617v1	GCF_021496175.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267786	1267786	2022-01-18	1331	PRJNA791959	SAMN24371060
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_wC45_F10	546165	ASM2149619v1	GCF_021496195.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267786	1267786	2022-01-18	1331	PRJNA791959	SAMN24371059
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_wC45_F9	546165	ASM2149621v1	GCF_021496215.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267784	1267784	2022-01-18	1330	PRJNA791959	SAMN24371058
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_Lab	546165	ASM2149623v1	GCF_021496235.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267786	1267786	2022-01-18	1331	PRJNA791959	SAMN24371057
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_YK_18	546165	ASM2149720v1	GCF_021497205.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1172750	1267785	2022-01-18	1320	PRJNA776956	SAMN24698392
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_GV_13	546165	ASM2149722v1	GCF_021497225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267782	1267782	2022-01-18	1327	PRJNA776956	SAMN24698390
Wolbachia endosymbiont of Aedes aegypti		isolate: wMel_GV_18	546165	ASM2149724v1	GCF_021497245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1172754	1267785	2022-01-18	1330	PRJNA776956	SAMN24698391
Wolbachia endosymbiont of Delia radicum		isolate: iso-1	502352	ASM2160990v1	GCF_021609905.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1586584	1586584	2022-01-26	1587	PRJNA655405	SAMN25041563
Wolbachia pipientis		isolate: F7_C	955	ASM2234384v1	GCF_022343845.1	RefSeq	GCF_022343845.1-RS_2024_03_29	Chromosome	284583	1267787	2022-02-20	1312	PRJNA805284	SAMN25853242
Wolbachia pipientis		isolate: donor	955	ASM2234386v1	GCF_022343865.1	RefSeq	GCF_022343865.1-RS_2024_03_29	Chromosome	1012192	1267787	2022-02-20	1325	PRJNA805284	SAMN25853243
Wolbachia pipientis		isolate: F7_B	955	ASM2234388v1	GCF_022343885.1	RefSeq	GCF_022343885.1-RS_2024_03_29	Chromosome	483568	1267787	2022-02-20	1315	PRJNA805284	SAMN25853241
Wolbachia pipientis		isolate: F7_A	955	ASM2234390v1	GCF_022343905.1	RefSeq	GCF_022343905.1-RS_2024_03_29	Chromosome	284633	1267799	2022-02-20	1317	PRJNA805284	SAMN25853240
Wolbachia pipientis		isolate: F3	955	ASM2234392v1	GCF_022343925.1	RefSeq	GCF_022343925.1-RS_2024_03_29	Chromosome	433340	1267787	2022-02-20	1320	PRJNA805284	SAMN25853239
Wolbachia endosymbiont of Ostrinia furnacalis		strain: wFur	154048	ASM2355912v1	GCF_023559125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1321828	1321828	2022-05-26	1280	PRJNA831588	SAMN27755317
Wolbachia endosymbiont of Ostrinia scapulalis		strain: wSca	183754	ASM2355914v1	GCF_023559145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1320340	1320340	2022-05-26	1287	PRJNA831588	SAMN27755342
Wolbachia pipientis		isolate: AH2012_wTtru	955	ASM2420540v1	GCF_024205405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1515517	1515617	2022-07-11	1730	PRJNA848936	SAMN29019888
Wolbachia endosymbiont of Aedes albopictus		isolate: wAlbA-JF2017	167957	ASM2480418v1	GCF_024804185.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1190930	1226577	2022-08-31	1275	PRJNA852408	SAMN29328645
Wolbachia endosymbiont of Howardula sp.		isolate: HA_SPA	2916816	ASM2502192v1	GCF_025021925.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	553558	553558	2022-09-07	527	PRJNA804571	SAMN25759845
Wolbachia endosymbiont of Oryzaephilus surinamensis		strain: JKI-2014	573241	ASM2561751v1	GCF_025617515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1728764	1728764	2022-10-07	1598	PRJNA808838	SAMN16521157
Wolbachia endosymbiont of Drosophila pseudotakahashii		isolate: Smith	375919	ASM2601592v1	GCF_026015925.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1308415	1308415	2022-11-07	1358	PRJNA889195	SAMN31233425
Wolbachia endosymbiont of Frankliniella intonsa		isolate: JH2022	2902422	ASM2985695v1	GCF_029856955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1463884	1463884	2023-04-24	1659	PRJNA835209	SAMN28095534
Wolbachia pipientis		strain: wHm-t	955	ASM3029509v1	GCF_030295095.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1542158	1542158	2023-04-27	1442	PRJDB13119	SAMD00445397
Wolbachia pipientis		strain: wHm-c	955	ASM3029511v1	GCF_030295115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1447668	1447668	2023-04-27	1338	PRJDB13119	SAMD00445400
Wolbachia endosymbiont of Listronotus oregonensis		isolate: LiOr_01	2969106	ASM3120505v1	GCF_031205055.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1567375	1567375	2023-09-06	1582	PRJNA857033	SAMN29600261
Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020		isolate: mont_up-71	3080329	ASM3284819v1	GCF_032848195.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1244713	1244713	2023-10-19	1305	PRJNA1021588	SAMN37567296
Wolbachia endosymbiont of Zaprionus tsacasi		isolate: car7-4	2603209	ASM3284900v1	GCF_032849005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1279110	1279110	2023-10-19	1317	PRJNA1021588	SAMN37567295
Wolbachia endosymbiont of Chironomus riparius		isolate: Wolbachia_endosymbiont_of_Chironomus_riparius	2883238	Harlequin_wolbachia	GCF_918315375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	51962	559667	2022-06-24	534	PRJEB47883	SAMEA10422657
Wolbachia endosymbiont of Psylliodes chrysocephala		isolate: Wolbachia_endosymbiont_of_Psylliodes chrysocephala_genome	2883236	Wolbachia_endosymbiont_of_CSFBv1	GCF_918342435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1438854	1438854	2022-06-24	1440	PRJEB47896	SAMEA10422655
Wolbachia endosymbiont of Phyllotreta cruciferae		isolate: Wolbachia_endosymbiont_of_Phyllotreta_cruciferae	2886377	Wolbachia_Phyllotreta_cruciferaeV1	GCF_918697765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1795892	1795892	2022-06-24	1710	PRJEB47904	SAMEA10589439
Wolbachia endosymbiont of Oedothorax gibbosus		strain: wOegibbosus-W744x776B	931100	WolOegibB_v1.0	GCF_936270145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1551378	1551378	2022-05-24	1529	PRJEB52003	SAMEA13846811
Wolbachia endosymbiont of Oedothorax gibbosus		strain: wOegibbosus-W744x776A	931100	WolOegibA_v2.0	GCF_936270435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1127872	1684633	2022-05-24	1747	PRJEB52003	SAMEA13846810
Wolbachia endosymbiont (group A) of Acrocera orbiculus		isolate: 24838	2953971	idAcrOrbc1.Wolbachia_sp_1.1	GCF_947250015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1383045	1383045	2022-11-02	1369	PRJEB57005	SAMEA110701667
Wolbachia endosymbiont (group B) of Nymphalis c-album		isolate: 26555	2954034	ilPolCalb1.Wolbachia_sp_2.1	GCF_947250465.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1236246	1236246	2022-11-02	1164	PRJEB56968	SAMEA111432210
Wolbachia endosymbiont (group B) of Apotomis betuletana		isolate: 26590	2953982	ilApoBetu1.Wolbachia_sp_1.1	GCF_947250475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1635810	1635810	2022-11-02	1526	PRJEB56951	SAMEA111432245
Wolbachia endosymbiont (group B) of Aporia crataegi		isolate: 26589	2953981	ilApoCrat1.Wolbachia_sp_1.1	GCF_947250485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1192084	1310109	2022-11-02	1216	PRJEB56964	SAMEA111432244
