Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Wolbachia endosymbiont of Wiebesia pumilae		isolate: MIAOwWpum	2742717	ASM1786928v1	GCF_017869285.1	RefSeq	GCF_017869285.1-RS_2024_03_28	Complete Genome	1278697	1278697	2021-04-08	1356	PRJNA637974	SAMN15163053
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_4	546165	ASM1789624v1	GCF_017896245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267786	1267786	2021-04-10	1323	PRJNA695307	SAMN17611332
Wolbachia endosymbiont of Spodoptera picta		strain: Spic_B	2769078	ASM1814166v1	GCF_018141665.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1339720	1339720	2021-04-27	1281	PRJNA659878	SAMN17207715
Wolbachia endosymbiont of Drosophila yakuba		isolate: KB166, strain: wYak	260915	ASM1846711v1	GCF_018467115.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1394392	1394392	2021-05-24	1408	PRJNA694504	SAMN17528250
Wolbachia endosymbiont of Drosophila santomea		isolate: KB161, strain: wSan	260917	ASM1846713v1	GCF_018467135.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1409094	1409094	2021-05-24	1419	PRJNA694504	SAMN17528249
Wolbachia endosymbiont of Anopheles demeilloni		isolate: wAnD	2748871	ASM1849173v2	GCF_018491735.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1231247	1231247	2022-01-11	1328	PRJNA642000	SAMN15423460
Wolbachia endosymbiont of Corcyra cephalonica		isolate: SYLI2103	218111	ASM2099547v1	GCF_020995475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1359904	1381884	2021-11-29	1319	PRJNA780222	SAMN23133155
Wolbachia endosymbiont of Drosophila innubila		isolate: 11	282263	ASM2137837v1	GCF_021378375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1290587	1290587	2022-01-06	1413	PRJNA661092	SAMN18306550
Wolbachia endosymbiont of Delia radicum		isolate: iso-1	502352	ASM2160990v1	GCF_021609905.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1586584	1586584	2022-01-26	1587	PRJNA655405	SAMN25041563
Wolbachia endosymbiont of Ostrinia furnacalis		strain: wFur	154048	ASM2355912v1	GCF_023559125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1321828	1321828	2022-05-26	1280	PRJNA831588	SAMN27755317
Wolbachia endosymbiont of Ostrinia scapulalis		strain: wSca	183754	ASM2355914v1	GCF_023559145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1320340	1320340	2022-05-26	1287	PRJNA831588	SAMN27755342
Wolbachia endosymbiont of Aedes albopictus		isolate: wAlbA-JF2017	167957	ASM2480418v1	GCF_024804185.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1190930	1226577	2022-08-31	1275	PRJNA852408	SAMN29328645
Wolbachia endosymbiont of Oryzaephilus surinamensis		strain: JKI-2014	573241	ASM2561751v1	GCF_025617515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1728764	1728764	2022-10-07	1598	PRJNA808838	SAMN16521157
Wolbachia endosymbiont of Drosophila pseudotakahashii		isolate: Smith	375919	ASM2601592v1	GCF_026015925.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1308415	1308415	2022-11-07	1358	PRJNA889195	SAMN31233425
Wolbachia endosymbiont of Frankliniella intonsa		isolate: JH2022	2902422	ASM2985695v1	GCF_029856955.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1463884	1463884	2023-04-24	1659	PRJNA835209	SAMN28095534
Wolbachia endosymbiont of Listronotus oregonensis		isolate: LiOr_01	2969106	ASM3120505v1	GCF_031205055.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1567375	1567375	2023-09-06	1582	PRJNA857033	SAMN29600261
Wolbachia endosymbiont of Drosophila aff. chauvacae BK-2020		isolate: mont_up-71	3080329	ASM3284819v1	GCF_032848195.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1244713	1244713	2023-10-19	1305	PRJNA1021588	SAMN37567296
Wolbachia endosymbiont of Zaprionus tsacasi		isolate: car7-4	2603209	ASM3284900v1	GCF_032849005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1279110	1279110	2023-10-19	1317	PRJNA1021588	SAMN37567295
Wolbachia endosymbiont of Chironomus riparius		isolate: Wolbachia_endosymbiont_of_Chironomus_riparius	2883238	Harlequin_wolbachia	GCF_918315375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	51962	559667	2022-06-24	534	PRJEB47883	SAMEA10422657
Wolbachia endosymbiont of Psylliodes chrysocephala		isolate: Wolbachia_endosymbiont_of_Psylliodes chrysocephala_genome	2883236	Wolbachia_endosymbiont_of_CSFBv1	GCF_918342435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1438854	1438854	2022-06-24	1440	PRJEB47896	SAMEA10422655
Wolbachia endosymbiont of Phyllotreta cruciferae		isolate: Wolbachia_endosymbiont_of_Phyllotreta_cruciferae	2886377	Wolbachia_Phyllotreta_cruciferaeV1	GCF_918697765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1795892	1795892	2022-06-24	1710	PRJEB47904	SAMEA10589439
Wolbachia endosymbiont of Oedothorax gibbosus		strain: wOegibbosus-W744x776B	931100	WolOegibB_v1.0	GCF_936270145.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1551378	1551378	2022-05-24	1529	PRJEB52003	SAMEA13846811
Wolbachia endosymbiont (group A) of Acrocera orbiculus		isolate: 24838	2953971	idAcrOrbc1.Wolbachia_sp_1.1	GCF_947250015.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1383045	1383045	2022-11-02	1369	PRJEB57005	SAMEA110701667
Wolbachia endosymbiont (group B) of Nymphalis c-album		isolate: 26555	2954034	ilPolCalb1.Wolbachia_sp_2.1	GCF_947250465.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1236246	1236246	2022-11-02	1164	PRJEB56968	SAMEA111432210
Wolbachia endosymbiont (group B) of Apotomis betuletana		isolate: 26590	2953982	ilApoBetu1.Wolbachia_sp_1.1	GCF_947250475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1635810	1635810	2022-11-02	1526	PRJEB56951	SAMEA111432245
Wolbachia endosymbiont (group B) of Aporia crataegi		isolate: 26589	2953981	ilApoCrat1.Wolbachia_sp_1.1	GCF_947250485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1192084	1310109	2022-11-02	1216	PRJEB56964	SAMEA111432244
Wolbachia endosymbiont (group A) of Phalera bucephala		isolate: 26549	2954042	ilPhaBuce1.Wolbachia_sp_1.1	GCF_947250505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1271809	1271809	2022-11-02	1288	PRJEB56997	SAMEA111432204
Wolbachia endosymbiont (group B) of Catoptria pinella		isolate: 26602	2953993	ilCatPine1.Wolbachia_sp_1.1	GCF_947250515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1667356	1667356	2022-11-02	1556	PRJEB57023	SAMEA111432257
Wolbachia endosymbiont (group B) of Colias croceus		isolate: 26608	2953998	ilColCroc2.Wolbachia_sp_1.1	GCF_947250525.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1396841	1396841	2022-11-02	1298	PRJEB57040	SAMEA111432263
Wolbachia endosymbiont (group B) of Euphydryas aurinia		isolate: 26626	2954014	ilEupAuri1.Wolbachia_sp_1.1	GCF_947250535.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1802477	1802477	2022-11-02	1702	PRJEB56967	SAMEA111432281
Wolbachia endosymbiont (group B) of Erynnis tages		isolate: 26623	2954011	ilEryTage1.Wolbachia_sp_1.1	GCF_947250545.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1532960	1532960	2022-11-02	1425	PRJEB57012	SAMEA111432278
Wolbachia endosymbiont (group B) of Pandemis corylana		isolate: 26547	2954039	ilPanCory1.Wolbachia_sp_1.1	GCF_947250555.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1510263	1510263	2022-11-02	1426	PRJEB56993	SAMEA111432202
Wolbachia endosymbiont (group A) of Andrena haemorrhoa		isolate: 26584	2953976	iyAndHaem1.Wolbachia_sp_1.1	GCF_947250565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1494005	1494005	2022-11-02	1497	PRJEB56937	SAMEA111432239
Wolbachia endosymbiont (group B) of Episyrphus balteatus		isolate: 26621	2954009	idEpiBalt1.Wolbachia_sp_1.1	GCF_947250575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1402288	1402288	2022-11-02	1341	PRJEB56955	SAMEA111432276
Wolbachia endosymbiont (group A) of Lasioglossum morio		isolate: 26638	2954025	iyLasMori1.Wolbachia_sp_1.1	GCF_947250585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1282687	1282687	2022-11-02	1269	PRJEB56963	SAMEA111432293
Wolbachia endosymbiont (group B) of Campaea margaritaria		isolate: 26599	2953990	ilCamMarg1.Wolbachia_sp_1.1	GCF_947250595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1507681	1507681	2022-11-02	1424	PRJEB57010	SAMEA111432254
Wolbachia endosymbiont (group B) of Pyrgus malvae		isolate: 26565	2954052	ilPyrMalv3.Wolbachia_sp_1.1	GCF_947250605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1544873	1544873	2022-11-02	1464	PRJEB56971	SAMEA111432220
Wolbachia endosymbiont (group B) of Rhopobota naevana		isolate: 26567	2954054	ilRhoNaev1.Wolbachia_sp_1.1	GCF_947250615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1771989	1771989	2022-11-02	1694	PRJEB57013	SAMEA111432222
Wolbachia endosymbiont (group A) of Cheilosia soror		isolate: 26604	2953995	idCheSoro1.Wolbachia_sp_1.1	GCF_947250625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1368130	1368130	2022-11-02	1311	PRJEB56957	SAMEA111432259
Wolbachia endosymbiont (group B) of Parapoynx stratiotata		isolate: 26548	2954040	ilParStra1.Wolbachia_sp_1.1	GCF_947250635.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1545408	1545408	2022-11-02	1460	PRJEB56961	SAMEA111432203
Wolbachia endosymbiont (group B) of Eucosma cana		isolate: 26624	2954012	ilEucCana1.Wolbachia_sp_1.1	GCF_947250645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1407591	1407591	2022-11-02	1399	PRJEB57017	SAMEA111432279
Wolbachia endosymbiont (group B) of Watsonalla binaria		isolate: 26581	2954066	ilWatBina1.Wolbachia_sp_1.1	GCF_947250655.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1651335	1651335	2022-11-02	1535	PRJEB56986	SAMEA111432236
Wolbachia endosymbiont (group B) of Xestia c-nigrum		isolate: 26582	2954067	ilXesCnig1.Wolbachia_sp_1.1	GCF_947250675.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1372377	1372377	2022-11-02	1305	PRJEB57016	SAMEA111432237
Wolbachia endosymbiont (group B) of Eupeodes latifasciatus		isolate: 26625	2954013	idEupLati1.Wolbachia_sp_1.1	GCF_947250695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1274269	1274269	2022-11-02	1207	PRJEB57002	SAMEA111432280
Wolbachia endosymbiont (group B) of Archips podanus		isolate: 26592	2953984	ilArcPodn1.Wolbachia_sp_1.1	GCF_947250705.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1806406	1806406	2022-11-02	1650	PRJEB56978	SAMEA111432247
Wolbachia endosymbiont (group A) of Sympetrum striolatum		isolate: 26575	2954061	ioSymStri1.Wolbachia_sp_1.1	GCF_947250715.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1516596	1516596	2022-11-02	1470	PRJEB56984	SAMEA111432230
Wolbachia endosymbiont (group B) of Pararge aegeria		isolate: 26557	2954041	ilParAegt1.Wolbachia_sp_1.1	GCF_947250725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1332905	1332905	2022-11-02	1250	PRJEB56972	SAMEA111432212
Wolbachia endosymbiont (group A) of Sphaerophoria taeniata		isolate: 26570	2954057	idSphTaen1.Wolbachia_sp_1.1	GCF_947250735.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1354582	1354582	2022-11-02	1336	PRJEB57019	SAMEA111432225
Wolbachia endosymbiont (group B) of Polyommatus icarus		isolate: 26562	2954049	ilPolIcar1.Wolbachia_sp_1.1	GCF_947250745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1574132	1574132	2022-11-02	1465	PRJEB56998	SAMEA111432217
Wolbachia endosymbiont (group B) of Agriphila straminella		isolate: 24839	2953972	ilAgrStra1.Wolbachia_sp_1.1	GCF_947250755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1856316	1856316	2022-11-02	1717	PRJEB56965	SAMEA110701668
Wolbachia endosymbiont (group A) of Gymnosoma rotundatum		isolate: 26628	2954016	idGymRotn1.Wolbachia_sp_1.1	GCF_947250765.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1431527	1431527	2022-11-02	1452	PRJEB57021	SAMEA111432283
Wolbachia endosymbiont (group A) of Rhinocyllus conicus		isolate: 26566	2954053	icRhiConi1.Wolbachia_sp_1.1	GCF_947250775.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1703908	1703908	2022-11-02	1680	PRJEB57000	SAMEA111432221
Wolbachia endosymbiont (group A) of Ancistrocerus nigricornis		isolate: 24841	2953974	iyAncNigr1.Wolbachia_sp_1.1	GCF_947250785.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1265149	1265149	2022-11-02	1291	PRJEB56938	SAMEA110701670
Wolbachia endosymbiont (group A) of Nomada fabriciana		isolate: 26543	2954033	iyNomFabr1.Wolbachia_sp_1.1	GCF_947250795.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1438975	1438975	2022-11-04	1459	PRJEB56976	SAMEA111432198
Wolbachia endosymbiont (group A) of Endotricha flammealis		isolate: 26614	2954004	ilEndFlam1.Wolbachia_sp_1.1	GCF_947250805.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1691858	1691858	2022-11-04	1642	PRJEB56982	SAMEA111432269
Wolbachia endosymbiont (group A) of Protocalliphora azurea		isolate: 26563	2954050	idProAzur1.Wolbachia_sp_1.1	GCF_947251425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1434285	1434285	2022-11-04	1417	PRJEB57008	SAMEA111432218
Wolbachia endosymbiont (group A) of Epistrophe grossularia		isolate: 26620	2954008	idEpiGros1.Wolbachia_sp_2.1	GCF_947251435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1367569	1367569	2022-11-04	1376	PRJEB57020	SAMEA111432275
Wolbachia endosymbiont (group B) of Melanostoma mellinum		isolate: 26540	2954030	idMelMell2.Wolbachia_sp_1.1	GCF_947251465.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1875946	1875946	2022-11-04	1748	PRJEB56970	SAMEA111432195
Wolbachia endosymbiont (group A) of Epirrhoe alternata		isolate: 26618	2954007	ilEpiAlte1.Wolbachia_sp_1.1	GCF_947251475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1197405	1197405	2022-11-04	1189	PRJEB56992	SAMEA111432273
Wolbachia endosymbiont (group A) of Scambus nigricans		isolate: 26568	2954055	iyScaNigr1.Wolbachia_sp_1.1	GCF_947251485.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1150902	1150902	2022-11-04	1299	PRJEB57051	SAMEA111432223
Wolbachia endosymbiont (group B) of Pammene fasciana		isolate: 26545	2954037	ilPamFasc1.Wolbachia_sp_1.1	GCF_947251495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1266982	1266982	2022-11-04	1195	PRJEB56985	SAMEA111432200
Wolbachia endosymbiont (group B) of Thymelicus sylvestris		isolate: 26576	2954062	ilThySylv1.Wolbachia_sp_1.1	GCF_947251505.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1286255	1286255	2022-11-04	1228	PRJEB56960	SAMEA111432231
Wolbachia endosymbiont (group A) of Sicus ferrugineus		isolate: 26569	2954056	idSicFerr1.Wolbachia_sp_1.1	GCF_947251515.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1273940	1273940	2022-11-04	1288	PRJEB57038	SAMEA111432224
Wolbachia endosymbiont (group A) of Anomoia purmunda		isolate: 26586	2953978	idAnoPurm1.Wolbachia_sp_1.1	GCF_947251545.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1485790	1485790	2022-11-04	1533	PRJEB57039	SAMEA111432241
Wolbachia endosymbiont (group A) of Macropis europaea		isolate: 26643	2954028	iyMacEuro1.Wolbachia_sp_1.1	GCF_947251555.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1439111	1439111	2022-11-04	1342	PRJEB57030	SAMEA111432298
Wolbachia endosymbiont (group A) of Pheosia gnoma		isolate: 26558	2954044	ilPheGnom1.Wolbachia_sp_1.1	GCF_947251565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1353731	1353731	2022-11-04	1338	PRJEB57031	SAMEA111432213
Wolbachia endosymbiont (group A) of Yponomeuta plumbellus		isolate: 26583	2954068	ilYpoPlub1.Wolbachia_sp_1.1	GCF_947251575.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1418562	1418562	2022-11-04	1412	PRJEB57029	SAMEA111432238
Wolbachia endosymbiont (group B) of Ischnura elegans		isolate: 26633	2954021	ioIscEleg1.Wolbachia_sp_1.1	GCF_947251585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2192297	2192297	2022-11-04	2232	PRJEB56991	SAMEA111432288
Wolbachia endosymbiont (group A) of Eupithecia tripunctaria		isolate: 26627	2954015	ilEupTrip1.Wolbachia_sp_1.1	GCF_947251595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1478719	1478719	2022-11-04	1483	PRJEB57018	SAMEA111432282
Wolbachia endosymbiont (group B) of Emmelina monodactyla		isolate: 26613	2954003	ilEmmMono1.Wolbachia_sp_1.1	GCF_947251605.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1385742	1385742	2022-11-04	1315	PRJEB56987	SAMEA111432268
Wolbachia endosymbiont (group A) of Apoderus coryli		isolate: 26588	2953980	icApoCory1.Wolbachia_sp_1.1	GCF_947251615.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1535196	1535196	2022-11-04	1619	PRJEB56975	SAMEA111432243
