Sample	Strain	Coverage	MeanDepth
PMLBSc012	NZ_CP037426.1	0.0624097	0.00112692
PMLBSc013	NC_002978.6	2.14012	0.0526826
PMLBSc013	NC_006833.1	0.0723092	0.00157117
PMLBSc013	NC_012416.1	2.65528	0.0809981
PMLBSc013	NC_010981.1	70.4134	2.72452
PMLBSc013	NC_018267.1	0.0424848	0.000621092
PMLBSc013	NC_021084.1	15.0277	0.392397
PMLBSc013	NC_021089.1	2.53534	0.101301
PMLBSc013	NZ_HG810405.1	0.0245675	0.00579835
PMLBSc013	NZ_AP013028.1	0.42582	0.00745884
PMLBSc013	NZ_CM003641.1	5.06928	0.110962
PMLBSc013	NZ_CP031221.1	17.3573	0.452201
PMLBSc013	NZ_CP037426.1	3.30683	0.117454
PMLBSc014	NC_002978.6	0.0288693	0.000430673
PMLBSc014	NC_006833.1	0.00398117	7.96234e-05
PMLBSc014	NC_012416.1	0.0251751	0.000251751
PMLBSc014	NC_010981.1	0.043374	0.000656344
PMLBSc014	NC_018267.1	0.0808985	0.00114093
PMLBSc014	NC_021084.1	0.014979	0.00052004
PMLBSc014	NZ_HG810405.1	0.0205076	0.00526848
PMLBSc014	NZ_AP013028.1	0.00343983	0.000136793
PMLBSc014	NZ_CM003641.1	0.0291936	0.000329862
PMLBSc014	NZ_CP037426.1	0.0218138	0.00234554
PMLBSc014	NC_021089.1	0	0
PMLBSc014	NZ_CP031221.1	0	0
PMLBSc015	NC_002978.6	0.00339175	0.00027134
PMLBSc015	NC_006833.1	0.00398117	0.000157395
PMLBSc015	NC_012416.1	0.0162532	0.000162532
PMLBSc015	NC_018267.1	0.0244261	0.00317749
PMLBSc015	NC_021084.1	0.022891	0.000416339
PMLBSc015	NC_021089.1	0.0033184	0.000131964
PMLBSc015	NZ_HG810405.1	0.0708919	0.012569
PMLBSc015	NZ_AP013028.1	0.00343983	0.000132794
PMLBSc015	NZ_CM003641.1	0.0143763	0.000358085
PMLBSc015	NZ_CP031221.1	0.00599728	0.000170484
PMLBSc015	NZ_CP037426.1	0.00317964	6.28534e-05
PMLBSc015	NC_010981.1	0	0
PMLBSc016	NC_002978.6	0.0240578	0.000382558
PMLBSc016	NC_006833.1	0.0475889	0.00115824
PMLBSc016	NC_012416.1	0.0458546	0.000708914
PMLBSc016	NC_010981.1	0.0331207	0.000331207
PMLBSc016	NC_018267.1	0.0403971	0.000542803
PMLBSc016	NC_021084.1	0.0350278	0.000463197
PMLBSc016	NC_021089.1	0.0033184	6.63681e-05
PMLBSc016	NZ_HG810405.1	0.058504	0.0172243
PMLBSc016	NZ_AP013028.1	0.041998	0.000859959
PMLBSc016	NZ_CM003641.1	0.0820244	0.000974591
PMLBSc016	NZ_CP031221.1	0.0320079	0.000439351
PMLBSc016	NZ_CP037426.1	0.0132362	0.000263245
PMLBSc017	NC_002978.6	0.0487466	0.000487466
PMLBSc017	NC_006833.1	0.0760126	0.00137582
PMLBSc017	NC_012416.1	0.0389384	0.000457855
PMLBSc017	NC_010981.1	0.0337953	0.000366959
PMLBSc017	NC_018267.1	0.12902	0.00251046
PMLBSc017	NC_021084.1	0.0479328	0.000906421
PMLBSc017	NC_021089.1	0.0504706	0.00120311
PMLBSc017	NZ_HG810405.1	0.0792198	0.00326561
PMLBSc017	NZ_AP013028.1	0.062317	0.00118474
PMLBSc017	NZ_CM003641.1	0.0355439	0.000493028
PMLBSc017	NZ_CP031221.1	0.0480456	0.000649593
PMLBSc017	NZ_CP037426.1	0.0445889	0.00335563
PMLBSc018	NC_002978.6	0.00828218	0.000162489
PMLBSc018	NC_006833.1	0.0388859	0.000661986
PMLBSc018	NC_012416.1	0.00297398	5.8788e-05
PMLBSc018	NC_010981.1	0.00290059	5.80119e-05
PMLBSc018	NC_018267.1	0.0456163	0.00140398
PMLBSc018	NC_021084.1	0.0172835	0.000422484
PMLBSc018	NC_021089.1	0.0033184	6.63681e-05
PMLBSc018	NZ_HG810405.1	0.0183215	0.0112594
PMLBSc018	NZ_CM003641.1	0.0114658	0.000209912
PMLBSc018	NZ_CP031221.1	0.0113207	0.000113207
PMLBSc018	NZ_CP037426.1	0.0252892	0.00355454
PMLBSc018	NZ_AP013028.1	0	0
PMLBSc019	NC_002978.6	0.12163	0.00488491
PMLBSc019	NC_006833.1	0.192115	0.0103927
PMLBSc019	NC_012416.1	0.122625	0.00461244
PMLBSc019	NC_010981.1	0.0940332	0.0022827
PMLBSc019	NC_018267.1	0.213781	0.0142298
PMLBSc019	NC_021084.1	0.136347	0.00319321
PMLBSc019	NC_021089.1	0.0706125	0.00098163
PMLBSc019	NZ_HG810405.1	0.254836	0.0252046
PMLBSc019	NZ_AP013028.1	0.20423	0.00783402
PMLBSc019	NZ_CM003641.1	0.123125	0.00172075
PMLBSc019	NZ_CP031221.1	0.0803231	0.00121158
PMLBSc019	NZ_CP037426.1	0.153584	0.00943244
PMLBSc020	NC_002978.6	94.961	59.6293
PMLBSc020	NC_006833.1	3.88886	0.060873
PMLBSc020	NC_012416.1	55.1322	11.6421
PMLBSc020	NC_010981.1	10.261	1.73741
PMLBSc020	NC_018267.1	1.32058	0.0207236
PMLBSc020	NC_021084.1	6.69162	1.19524
PMLBSc020	NC_021089.1	56.4203	12.5612
PMLBSc020	NZ_HG810405.1	1.70484	0.0450158
PMLBSc020	NZ_AP013028.1	4.22268	0.174417
PMLBSc020	NZ_CM003641.1	3.09708	0.0936551
PMLBSc020	NZ_CP031221.1	5.42457	1.04832
PMLBSc020	NZ_CP037426.1	62.0275	13.7669
PMLBSc021	NC_002978.6	0.00339175	0.000203505
PMLBSc021	NC_006833.1	0.0362935	0.0026035
PMLBSc021	NC_012416.1	0.00297398	0.000296015
PMLBSc021	NC_010981.1	0.00290059	0.000114675
PMLBSc021	NC_018267.1	0.00386225	0.000106473
PMLBSc021	NC_021084.1	0.00330306	0.000198184
PMLBSc021	NC_021089.1	0.0033184	0.000227658
PMLBSc021	NZ_HG810405.1	0.00603778	0.00758158
PMLBSc021	NZ_AP013028.1	0.00343983	0.000783162
PMLBSc021	NZ_CM003641.1	0.00379253	0.000889921
PMLBSc021	NZ_CP037426.1	0.0160461	0.000799347
PMLBSc021	NZ_CP031221.1	0	0
PMLBSc022	NC_002978.6	0.0414109	0.000466957
PMLBSc022	NC_006833.1	0.0448113	0.00802623
PMLBSc022	NC_012416.1	0.0435723	0.000507652
PMLBSc022	NC_010981.1	0.0501196	0.00088974
PMLBSc022	NC_018267.1	0.071817	0.00150837
PMLBSc022	NC_021084.1	0.0136731	0.000136731
PMLBSc022	NC_021089.1	0.0509336	0.000628953
PMLBSc022	NZ_HG810405.1	0.0684976	0.00754514
PMLBSc022	NZ_AP013028.1	0.0235189	0.000683167
PMLBSc022	NZ_CM003641.1	0.0450693	0.00131327
PMLBSc022	NZ_CP031221.1	0.0276279	0.000369944
PMLBSc022	NZ_CP037426.1	0.0218138	0.000460678
PMLBSc023	NC_002978.6	5.83547	0.0840058
PMLBSc023	NC_006833.1	0.0511071	0.00910022
PMLBSc023	NC_012416.1	1.42391	0.0173978
PMLBSc023	NC_010981.1	0.194137	0.00306384
PMLBSc023	NC_018267.1	0.0251568	0.000416497
PMLBSc023	NC_021084.1	0.133121	0.00308106
PMLBSc023	NC_021089.1	1.34928	0.0177342
PMLBSc023	NZ_HG810405.1	0.0675607	0.0132311
PMLBSc023	NZ_AP013028.1	0.0319985	0.000879958
PMLBSc023	NZ_CM003641.1	0.0151701	0.000762033
PMLBSc023	NZ_CP031221.1	0.108625	0.00152021
PMLBSc023	NZ_CP037426.1	1.55869	0.0206913
PMLBSc024	NC_002978.6	0.301393	0.0178974
PMLBSc024	NC_006833.1	0.259147	0.0245435
PMLBSc024	NC_012416.1	0.221735	0.0111476
PMLBSc024	NC_010981.1	0.181793	0.00686564
PMLBSc024	NC_018267.1	0.306057	0.0380495
PMLBSc024	NC_021084.1	0.127053	0.00345131
PMLBSc024	NC_021089.1	0.173483	0.00532025
PMLBSc024	NZ_HG810405.1	0.27982	0.13584
PMLBSc024	NZ_AP013028.1	0.239828	0.017012
PMLBSc024	NZ_CM003641.1	0.182747	0.0101225
PMLBSc024	NZ_CP031221.1	0.126617	0.00483151
PMLBSc024	NZ_CP037426.1	0.180352	0.014213
PMLBSc025	NC_002978.6	0.00339175	6.7835e-05
PMLBSc025	NC_006833.1	0.0474963	0.00154618
PMLBSc025	NC_012416.1	0.0150082	0.000237919
PMLBSc025	NC_010981.1	0.00290059	5.80119e-05
PMLBSc025	NC_018267.1	0.0212946	0.00108561
PMLBSc025	NC_021084.1	0.00330306	6.60612e-05
PMLBSc025	NC_021089.1	0.0033184	0.000197561
PMLBSc025	NZ_HG810405.1	0.0119715	0.117965
PMLBSc025	NZ_AP013028.1	0.00343983	0.000275187
PMLBSc025	NZ_CM003641.1	0.00379253	0.000377489
PMLBSc025	NZ_CP031221.1	0.0145552	0.000975063
PMLBSc025	NZ_CP037426.1	0.0184123	0.00064702
PMLBSc026	NC_002978.6	0.0495353	0.00068466
PMLBSc026	NC_006833.1	0.0231463	0.000692539
PMLBSc026	NC_012416.1	0.0443331	0.000603787
PMLBSc026	NC_010981.1	0.00290059	0.000174036
PMLBSc026	NC_018267.1	0.102089	0.00182257
PMLBSc026	NC_021084.1	0.00330306	0.000130586
PMLBSc026	NC_021089.1	0.0441425	0.000574161
PMLBSc026	NZ_HG810405.1	0.0799485	0.0237191
PMLBSc026	NZ_AP013028.1	0.0459978	0.00163512
PMLBSc026	NZ_CM003641.1	0.0367787	0.000946368
PMLBSc026	NZ_CP031221.1	0.0132749	0.000833554
PMLBSc026	NZ_CP037426.1	0.0713571	0.00136946
PMLBSc027	NC_002978.6	0.0154601	0.000265819
PMLBSc027	NC_006833.1	0.0268498	0.00254517
PMLBSc027	NC_012416.1	0.0069854	0.000103744
PMLBSc027	NC_010981.1	0.0127491	0.000271846
PMLBSc027	NC_018267.1	0.0106473	0.000433199
PMLBSc027	NC_021084.1	0.052849	0.00052849
PMLBSc027	NZ_HG810405.1	0.0590245	0.0266797
PMLBSc027	NZ_AP013028.1	0.020239	0.000465578
PMLBSc027	NZ_CM003641.1	0.0368669	0.000368669
PMLBSc027	NZ_CP031221.1	0.00721021	0.000964281
PMLBSc027	NZ_CP037426.1	0.0332014	0.000362331
PMLBSc027	NC_021089.1	0	0
PMLBSc028	NC_002978.6	0.0946535	0.00258325
PMLBSc028	NC_006833.1	0.0898078	0.00643839
PMLBSc028	NC_012416.1	0.0654276	0.00279278
PMLBSc028	NC_010981.1	0.0672533	0.00182603
PMLBSc028	NC_018267.1	0.181422	0.0109354
PMLBSc028	NC_021084.1	0.0673671	0.00164999
PMLBSc028	NC_021089.1	0.0516282	0.000943816
PMLBSc028	NZ_HG810405.1	0.15896	0.0337377
PMLBSc028	NZ_AP013028.1	0.127834	0.00472137
PMLBSc028	NZ_CM003641.1	0.0593574	0.00243515
PMLBSc028	NZ_CP031221.1	0.068059	0.00616102
PMLBSc028	NZ_CP037426.1	0.154989	0.00686137
PMLBSc029	NC_002978.6	0.0158545	0.000158545
PMLBSc029	NC_006833.1	0.00398117	0.000234241
PMLBSc029	NC_012416.1	0.0401142	0.000569206
PMLBSc029	NC_010981.1	0.0291409	0.00286619
PMLBSc029	NC_018267.1	0.0748442	0.00346141
PMLBSc029	NC_021084.1	0.0185893	0.000218156
PMLBSc029	NZ_HG810405.1	0.0726616	0.0350087
PMLBSc029	NZ_AP013028.1	0.0443179	0.00101435
PMLBSc029	NZ_CM003641.1	0.0441873	0.00149143
PMLBSc029	NZ_CP031221.1	0.0122641	0.000248651
PMLBSc029	NZ_CP037426.1	0.0270639	0.00044441
PMLBSc029	NC_021089.1	0	0
PMLBSc030	NC_002978.6	0.00339175	6.7835e-05
PMLBSc030	NC_006833.1	0.0244425	0.000521256
PMLBSc030	NC_012416.1	0.00297398	5.74048e-05
PMLBSc030	NC_010981.1	0.00290059	5.80119e-05
PMLBSc030	NC_018267.1	0.0602303	0.000793328
PMLBSc030	NC_021089.1	0.0033184	6.63681e-05
PMLBSc030	NZ_HG810405.1	0.0487186	0.00585665
PMLBSc030	NZ_AP013028.1	0.00343983	0.000274387
PMLBSc030	NZ_CM003641.1	0.00379253	0.000151701
PMLBSc030	NZ_CP031221.1	0.00289756	0.000115902
PMLBSc030	NZ_CP037426.1	0.00317964	0.000127186
PMLBSc030	NC_021084.1	0	0
PMLBSc031	NC_002978.6	0.041332	0.000603416
PMLBSc031	NC_006833.1	0.143137	0.00647913
PMLBSc031	NC_012416.1	0.0493128	0.000897036
PMLBSc031	NC_010981.1	0.0232048	0.000286687
PMLBSc031	NC_018267.1	0.0861178	0.0026566
PMLBSc031	NC_021084.1	0.0194343	0.000194343
PMLBSc031	NC_021089.1	0.0423675	0.00105803
PMLBSc031	NZ_HG810405.1	0.101185	0.499905
PMLBSc031	NZ_AP013028.1	0.0683967	0.00188391
PMLBSc031	NZ_CM003641.1	0.00802604	0.000687065
PMLBSc031	NZ_CP031221.1	0.0400942	0.00292115
PMLBSc031	NZ_CP037426.1	0.0773466	0.0014227
PMLBSc032	NC_002978.6	1.19011	0.0453485
PMLBSc032	NC_006833.1	0.210447	0.0295347
PMLBSc032	NC_012416.1	1.36132	0.0505847
PMLBSc032	NC_010981.1	58.5415	1.63425
PMLBSc032	NC_018267.1	0.277873	0.0346841
PMLBSc032	NC_021084.1	9.99998	0.207027
PMLBSc032	NC_021089.1	1.48765	0.0548887
PMLBSc032	NZ_HG810405.1	0.226833	0.0603278
PMLBSc032	NZ_AP013028.1	0.440139	0.0403197
PMLBSc032	NZ_CM003641.1	3.5551	0.0817475
PMLBSc032	NZ_CP031221.1	11.1799	0.231306
PMLBSc032	NZ_CP037426.1	1.64587	0.0582924
PMLBSc033	NC_002978.6	0.400542	0.00536764
PMLBSc033	NC_006833.1	0.0736054	0.000996219
PMLBSc033	NC_012416.1	0.325893	0.0043759
PMLBSc033	NC_010981.1	16.0236	0.246652
PMLBSc033	NC_018267.1	0.00459295	0.000244261
PMLBSc033	NC_021084.1	2.71842	0.0397527
PMLBSc033	NC_021089.1	0.431007	0.00686138
PMLBSc033	NZ_HG810405.1	0.038621	0.0105245
PMLBSc033	NZ_AP013028.1	0.108395	0.00225189
PMLBSc033	NZ_CM003641.1	0.705763	0.0103695
PMLBSc033	NZ_CP031221.1	2.59682	0.0359493
PMLBSc033	NZ_CP037426.1	0.747955	0.00963727
PMLBSc034	NC_002978.6	0.0823485	0.000870023
PMLBSc034	NC_006833.1	0.00398117	0.000157395
PMLBSc034	NC_012416.1	0.048967	0.00055814
PMLBSc034	NC_010981.1	0.00789231	7.89231e-05
PMLBSc034	NC_018267.1	0.016806	0.00611906
PMLBSc034	NC_021084.1	0.0205865	0.000573043
PMLBSc034	NC_021089.1	0.0631268	0.000978543
PMLBSc034	NZ_HG810405.1	0.0208199	0.0111491
PMLBSc034	NZ_AP013028.1	0.0179191	0.000539174
PMLBSc034	NZ_CM003641.1	0.041806	0.00105309
PMLBSc034	NZ_CP031221.1	0.00700805	9.973e-05
PMLBSc034	NZ_CP037426.1	0.0773466	0.00298147
PMLBSc035	NC_002978.6	0.0598683	0.00107984
PMLBSc035	NC_006833.1	0.0358305	0.00131101
PMLBSc035	NC_012416.1	0.0513876	0.00119928
PMLBSc035	NC_010981.1	0.0874226	0.00173833
PMLBSc035	NC_018267.1	0.101045	0.00325369
PMLBSc035	NC_021084.1	0.0312639	0.000672134
PMLBSc035	NC_021089.1	0.0201419	0.000329525
PMLBSc035	NZ_HG810405.1	0.100248	0.00851535
PMLBSc035	NZ_AP013028.1	0.0547974	0.000959154
PMLBSc035	NZ_CM003641.1	0.0419824	0.00106014
PMLBSc035	NZ_CP031221.1	0.0830859	0.0015977
PMLBSc035	NZ_CP037426.1	0.0751283	0.00206972
PMLBSc036	NC_002978.6	3.16182	0.191895
PMLBSc036	NC_006833.1	0.270535	0.00514497
PMLBSc036	NC_012416.1	3.19177	0.179922
PMLBSc036	NC_010981.1	79.5608	11.4202
PMLBSc036	NC_018267.1	0.0253656	0.000766188
PMLBSc036	NC_021084.1	24.8	1.46838
PMLBSc036	NC_021089.1	2.71893	0.283771
PMLBSc036	NZ_HG810405.1	0.0924405	0.0182091
PMLBSc036	NZ_AP013028.1	0.498376	0.029453
PMLBSc036	NZ_CM003641.1	8.99129	0.474982
PMLBSc036	NZ_CP031221.1	27.5018	1.66896
PMLBSc036	NZ_CP037426.1	3.59307	0.238485
PMLBSc037	NC_002978.6	0.00741452	0.000124627
PMLBSc037	NC_006833.1	0.00398117	0.000787902
PMLBSc037	NC_021089.1	0.0033184	6.63681e-05
PMLBSc037	NZ_HG810405.1	0.00603778	0.00407654
PMLBSc037	NZ_AP013028.1	0.00343983	0.00020639
PMLBSc037	NZ_CM003641.1	0.00379253	0.000446283
PMLBSc037	NZ_CP037426.1	0.00317964	0.000313527
PMLBSc037	NC_012416.1	0	0
PMLBSc037	NC_010981.1	0	0
PMLBSc037	NC_018267.1	0	0
PMLBSc037	NC_021084.1	0	0
PMLBSc037	NZ_CP031221.1	0	0
PMLBSc038	NC_002978.6	0.0145924	0.000179842
PMLBSc038	NC_006833.1	0.0404598	0.00175449
PMLBSc038	NC_012416.1	0.00297398	0.000118959
PMLBSc038	NC_018267.1	0.052297	0.000866397
PMLBSc038	NC_021084.1	0.0245809	0.000518504
PMLBSc038	NC_021089.1	0.0033184	9.80086e-05
PMLBSc038	NZ_HG810405.1	0.0419522	0.014169
PMLBSc038	NZ_AP013028.1	0.0506376	0.00178471
PMLBSc038	NZ_CM003641.1	0.0171987	0.000917262
PMLBSc038	NZ_CP031221.1	0.00741236	0.00026078
PMLBSc038	NZ_CP037426.1	0.0247716	0.00113949
PMLBSc038	NC_010981.1	0	0
PMLBSc039	NC_002978.6	0.0231901	0.000242944
PMLBSc039	NC_006833.1	0.00870303	0.00034164
PMLBSc039	NC_012416.1	0.00297398	0.000118959
PMLBSc039	NC_010981.1	0.0231373	0.000257681
PMLBSc039	NC_018267.1	0.0102298	0.000204595
PMLBSc039	NC_021084.1	0.0167457	0.000167457
PMLBSc039	NC_021089.1	0.0033184	6.55963e-05
PMLBSc039	NZ_HG810405.1	0.0106182	0.00644793
PMLBSc039	NZ_AP013028.1	0.00343983	0.00020319
PMLBSc039	NZ_CM003641.1	0.00379253	0.000151701
PMLBSc039	NZ_CP037426.1	0.0293562	0.000503566
PMLBSc039	NZ_CP031221.1	0	0
PMLBSc040	NC_002978.6	96.6946	44.7236
PMLBSc040	NC_006833.1	4.33022	0.0770672
PMLBSc040	NC_012416.1	59.1741	11.8125
PMLBSc040	NC_010981.1	86.4902	19.8574
PMLBSc040	NC_018267.1	1.52977	0.0193802
PMLBSc040	NC_021084.1	89.9492	25.0564
PMLBSc040	NC_021089.1	57.8815	13.6718
PMLBSc040	NZ_HG810405.1	1.10158	0.0465669
PMLBSc040	NZ_AP013028.1	8.72182	0.464907
PMLBSc040	NZ_CM003641.1	17.8732	1.09174
PMLBSc040	NZ_CP031221.1	45.7308	6.28924
PMLBSc040	NZ_CP037426.1	64.7769	12.8181
PMLBSc041	NC_002978.6	3.76066	0.0976793
PMLBSc041	NC_006833.1	0.486444	0.0157497
PMLBSc041	NC_012416.1	4.82954	0.142149
PMLBSc041	NC_010981.1	22.1157	0.618478
PMLBSc041	NC_018267.1	0.343741	0.0149782
PMLBSc041	NC_021084.1	77.7011	3.48791
PMLBSc041	NC_021089.1	4.00516	0.173323
PMLBSc041	NZ_HG810405.1	0.325624	0.0303888
PMLBSc041	NZ_AP013028.1	1.7232	0.0298298
PMLBSc041	NZ_CM003641.1	4.68112	0.102643
PMLBSc041	NZ_CP031221.1	14.704	0.425429
PMLBSc041	NZ_CP037426.1	3.90068	0.159991
